,P03891,P03923,P00395,P00846,P03901,P03905,P03886,P00403,P03915,P00414,P00156,P03928,P03897,Q7RTX7,Q8NEC5,Q96P56,Q9H7T0,Q86XQ3,A8MZ26,Q6ZRH7,A0A0B4J245,P01733,A0A0B4J277,A0A0B4J2E0,A0A1B0GVM5,A0A494C176,Q9BZS9,A6NC62,A0A6Q8PFC9,Q14135,Q96EV8,Q13145,Q9UBK2,P22102,Q06203,P31939,O15067
P03891,1.0,0.39226519337016574,0.38028169014084506,0.3522388059701492,0.2696078431372549,0.41479099678456594,0.30985915492957744,0.4148606811145511,0.38271604938271603,0.39939024390243905,0.3252032520325203,0.19886363636363635,0.4857142857142857,0.004761904761904762,0.0045662100456621,0.014563106796116505,0.009569377990430622,0.009523809523809525,0.019704433497536946,0.029850746268656716,-0.014563106796116505,-0.004347826086956522,0.0,-0.008658008658008658,-0.005128205128205128,0.0,0.0,0.0,0.0,0.010256410256410256,-0.005376344086021506,0.00510204081632653,-0.00510204081632653,0.024509803921568627,0.02336448598130841,0.00966183574879227,0.021834061135371178
P03923,0.39226519337016574,1.0,0.2155688622754491,0.1640378548895899,0.3671875,0.24912280701754386,0.17956656346749225,0.22697368421052633,0.20930232558139536,0.22549019607843138,0.17052023121387283,0.35106382978723405,0.32701421800947866,0.032520325203252036,0.014925373134328358,0.03305785123966942,0.016,0.024,0.0423728813559322,0.05128205128205128,-0.008064516129032258,0.020833333333333332,0.0,0.006756756756756757,0.009009009009009009,0.0,0.0,0.0,0.0,0.018018018018018018,0.00980392156862745,0.0,0.008928571428571428,0.02459016393442623,0.022727272727272728,0.016260162601626018,0.034482758620689655
P00395,0.38028169014084506,0.2155688622754491,1.0,0.3549107142857143,0.15363128491620112,0.44525547445255476,0.39101123595505616,0.5161290322580645,0.47911547911547914,0.47002398081534774,0.4449438202247191,0.10606060606060606,0.32142857142857145,0.005509641873278237,0.0,0.011142061281337047,0.005509641873278237,0.011049723756906077,0.01977401129943503,0.01977401129943503,-0.008333333333333333,-0.0026041666666666665,0.0,-0.005194805194805195,-0.0028653295128939827,0.0,0.0,0.0,0.0,0.011527377521613832,0.0058997050147492625,0.0057306590257879654,-0.0057306590257879654,0.011142061281337047,0.01634877384196185,0.0,0.015706806282722512
P00846,0.3522388059701492,0.1640378548895899,0.3549107142857143,1.0,0.18238993710691823,0.4173027989821883,0.3923444976076555,0.3932038834951456,0.38141809290953543,0.4292803970223325,0.33480176211453744,0.06493506493506493,0.37037037037037035,0.006134969325153374,-0.01812688821752266,0.0219435736677116,0.012345679012345678,0.009202453987730062,0.022082018927444796,0.0125,0.006172839506172839,0.02654867256637168,0.01892744479495268,0.023391812865497075,0.00967741935483871,0.0,0.0,0.0,0.0,-0.003194888178913738,-0.009966777408637873,-0.003194888178913738,0.003194888178913738,0.025157232704402517,0.03067484662576687,0.012422360248447204,0.023323615160349854
P03901,0.2696078431372549,0.3671875,0.15363128491620112,0.18238993710691823,1.0,0.17475728155339806,0.18654434250764526,0.1656441717791411,0.159375,0.1753846153846154,0.14763231197771587,0.13559322033898305,0.25877192982456143,0.03875968992248062,-0.02877697841726619,0.03937007874015748,0.0,0.022727272727272728,0.031746031746031744,0.056910569105691054,-0.007633587786259542,0.02666666666666667,0.04032258064516129,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.009174311926605505,0.034482758620689655,0.02564102564102564,0.023255813953488372,0.028985507246376812,0.023255813953488372,0.060810810810810814
P03905,0.41479099678456594,0.24912280701754386,0.44525547445255476,0.4173027989821883,0.17475728155339806,1.0,0.41895261845386533,0.42748091603053434,0.5206611570247934,0.44358974358974357,0.4119047619047619,0.125,0.3805309734513274,0.0031847133757961785,0.006211180124223602,0.012944983818770227,0.006389776357827476,0.01607717041800643,0.019672131147540985,0.029801324503311258,-0.012944983818770227,0.006006006006006006,0.003236245954692557,0.0,-0.0033444816053511705,0.0,0.0,0.0,0.0,-0.0033333333333333335,-0.006920415224913495,0.0033333333333333335,-0.0033333333333333335,0.019543973941368076,0.012539184952978056,0.0,0.015015015015015015
P03886,0.30985915492957744,0.17956656346749225,0.39101123595505616,0.3923444976076555,0.18654434250764526,0.41895261845386533,1.0,0.3919239904988123,0.39371980676328505,0.41686746987951806,0.37028824833702884,0.06583072100313479,0.2805194805194805,0.0029498525073746312,-0.0028735632183908046,0.005952380952380952,-0.008902077151335312,0.0029411764705882353,0.01818181818181818,0.009009009009009009,0.0,0.011235955056179775,0.0,0.0111731843575419,-0.006191950464396285,0.0,0.0,0.0,0.0,0.0,-0.006369426751592357,-0.003076923076923077,-0.009287925696594427,0.018072289156626505,0.014577259475218658,0.002967359050445104,0.01680672268907563
P00403,0.4148606811145511,0.22697368421052633,0.5161290322580645,0.3932038834951456,0.1656441717791411,0.42748091603053434,0.3919239904988123,1.0,0.45153061224489793,0.5384615384615384,0.4386792452830189,0.11036789297658862,0.36619718309859156,0.006060606060606061,-0.0029411764705882353,0.006097560975609756,0.0,0.0030120481927710845,0.018633540372670808,0.012345679012345678,-0.00303951367781155,0.002849002849002849,0.003067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031545741324921135,-0.013157894736842105,0.0,0.0,0.03125,0.011904761904761904,0.012269938650306749,0.02601156069364162
P03915,0.38271604938271603,0.20930232558139536,0.47911547911547914,0.38141809290953543,0.159375,0.5206611570247934,0.39371980676328505,0.45153061224489793,1.0,0.4792746113989637,0.42755344418052255,0.10996563573883161,0.367816091954023,0.006230529595015576,0.006060606060606061,0.012618296529968454,0.009375,0.01567398119122257,0.022435897435897436,0.00949367088607595,-0.006269592476489028,0.005865102639296188,0.0,0.0029069767441860465,-0.003257328990228013,0.0,0.0,0.0,0.0,0.019801980198019802,0.006734006734006734,0.00980392156862745,-0.003246753246753247,0.025559105431309903,0.02476780185758514,0.012618296529968454,0.026706231454005934
P00414,0.39939024390243905,0.22549019607843138,0.47002398081534774,0.4292803970223325,0.1753846153846154,0.44358974358974357,0.41686746987951806,0.5384615384615384,0.4792746113989637,1.0,0.46411483253588515,0.11333333333333333,0.37960339943342775,0.00906344410876133,0.0029239766081871343,0.012195121951219513,-0.003003003003003003,0.0029940119760479044,0.021671826625386997,0.018518518518518517,-0.006060606060606061,0.0,0.003048780487804878,-0.0028169014084507044,-0.0031446540880503146,0.0,0.0,0.0,0.0,0.003134796238244514,-0.003236245954692557,0.003134796238244514,0.0,0.021538461538461538,0.023952095808383235,0.012195121951219513,0.022922636103151862
